vehicle_count,avg_speed_kmh,road_capacity,v_c_ratio,is_peak_hour,weather_condition,weather_code,occupancy_rate,has_incident,congestion_score,congestion_level,estimated_delay_minutes
1405,18.6,1000,1.405,0,Clear,0,0.836,0,90.8,High,37.9
809,27.3,1000,0.809,0,Clear,0,0.572,0,60.1,Moderate,8.8
1038,5.0,1500,0.692,0,Storm,2,0.461,0,74.9,High,17.0
2500,5.0,1000,2.5,1,Rain,1,0.98,1,100.0,High,60.0
2500,5.0,1000,2.5,0,Fog,3,0.98,0,100.0,High,60.0
1190,19.1,1200,0.992,0,Clear,0,0.635,0,72.0,High,19.1
406,15.5,1000,0.406,1,Fog,3,0.346,0,74.3,High,19.6
1159,19.7,1000,1.159,0,Rain,1,0.711,0,84.3,High,28.5
1842,31.7,2000,0.921,1,Clear,0,0.59,0,75.2,High,20.9
895,18.7,1000,0.895,0,Clear,0,0.608,0,67.9,Moderate,13.8
679,44.8,1200,0.566,0,Clear,0,0.41,0,41.3,Moderate,4.3
915,22.9,1000,0.915,1,Clear,0,0.68,0,78.9,High,22.0
976,47.0,1200,0.813,1,Clear,0,0.53,0,63.4,Moderate,15.2
2388,5.0,600,3.98,0,Clear,0,0.98,1,100.0,High,60.0
522,68.0,1200,0.435,0,Clear,0,0.42,0,25.0,Low,0.6
1174,12.0,1200,0.978,1,Rain,1,0.655,0,91.6,High,26.6
557,64.8,1500,0.371,0,Clear,0,0.273,0,23.5,Low,1.5
591,19.9,1000,0.591,1,Rain,1,0.393,0,70.6,High,14.5
636,34.3,850,0.748,0,Clear,0,0.431,0,54.3,Moderate,9.4
384,39.8,1200,0.32,1,Fog,3,0.251,0,59.5,Moderate,16.6
2228,52.7,2000,1.114,0,Clear,0,0.811,1,77.4,High,36.0
1460,16.1,1200,1.217,0,Clear,0,0.712,0,83.5,High,27.4
1853,15.9,2000,0.926,0,Rain,1,0.509,0,75.5,High,19.4
2383,5.0,850,2.804,1,Rain,1,0.98,0,100.0,High,60.0
1429,42.2,2000,0.714,0,Clear,0,0.486,0,49.2,Moderate,7.6
2491,5.0,1200,2.076,0,Clear,0,0.98,1,100.0,High,60.0
834,49.4,1500,0.556,1,Clear,0,0.402,0,50.8,Moderate,11.6
961,40.3,1000,0.961,0,Clear,0,0.697,0,61.1,Moderate,16.3
252,65.2,1000,0.252,0,Clear,0,0.1,0,18.0,Low,0.0
400,78.6,1200,0.333,0,Clear,0,0.222,0,15.6,Low,1.5
1483,13.3,1000,1.483,1,Clear,0,0.948,1,100.0,High,60.0
700,32.5,600,1.167,0,Clear,0,0.766,0,73.9,High,23.9
1215,5.0,850,1.429,1,Clear,0,0.948,0,100.0,High,43.9
540,42.0,850,0.635,0,Clear,0,0.464,0,45.7,Moderate,7.0
1259,56.6,1500,0.839,0,Clear,0,0.506,0,48.3,Moderate,11.1
795,28.8,1000,0.795,1,Clear,0,0.556,1,85.8,High,29.0
704,38.4,850,0.828,0,Fog,3,0.463,0,71.0,High,21.9
1806,5.0,850,2.125,0,Clear,0,0.98,0,100.0,High,60.0
1208,40.0,1200,1.007,0,Clear,0,0.71,0,63.3,Moderate,21.1
2500,5.0,1000,2.5,0,Clear,0,0.98,0,100.0,High,60.0
1524,5.0,1000,1.524,1,Rain,1,0.98,0,100.0,High,52.6
1328,9.0,1200,1.107,0,Fog,3,0.774,0,96.8,High,34.0
237,32.6,2000,0.118,1,Rain,1,0.089,0,43.7,Moderate,9.7
1250,50.2,1200,1.042,0,Clear,0,0.75,1,75.3,High,30.5
932,47.9,2000,0.466,1,Clear,0,0.286,0,47.4,Moderate,6.7
1442,5.0,1200,1.202,1,Clear,0,0.746,0,99.8,High,28.3
1368,38.4,1200,1.14,0,Clear,0,0.749,1,85.0,High,36.1
934,23.0,850,1.099,1,Clear,0,0.62,0,87.1,High,27.2
994,5.0,600,1.657,1,Clear,0,0.98,1,100.0,High,60.0
812,22.3,600,1.353,0,Clear,0,0.942,0,86.9,High,35.8
1855,5.0,1200,1.546,1,Fog,3,0.98,0,100.0,High,60.0
1777,5.0,1200,1.481,0,Storm,2,0.961,1,100.0,High,60.0
934,49.2,1200,0.778,0,Clear,0,0.481,0,48.9,Moderate,9.0
219,62.0,1200,0.182,0,Clear,0,0.083,0,16.3,Low,0.0
677,22.8,1200,0.564,1,Storm,2,0.382,0,73.1,High,16.4
1194,29.9,1500,0.796,0,Clear,0,0.497,0,58.4,Moderate,9.1
1576,19.6,1200,1.313,1,Clear,0,0.806,1,100.0,High,50.8
1461,21.9,1000,1.461,0,Clear,0,0.858,0,91.9,High,40.3
2423,5.0,850,2.851,0,Rain,1,0.98,0,100.0,High,60.0
971,16.9,1200,0.809,1,Rain,1,0.595,1,96.8,High,30.5
197,44.9,850,0.232,0,Clear,0,0.183,0,26.2,Low,0.0
1938,14.5,1200,1.615,0,Clear,0,0.98,1,100.0,High,60.0
1458,7.0,850,1.715,0,Clear,0,0.98,1,100.0,High,60.0
701,9.6,1000,0.701,0,Storm,2,0.434,1,88.2,High,25.6
1587,23.4,1200,1.322,0,Clear,0,0.903,0,85.0,High,33.9
1157,46.2,1500,0.771,0,Fog,3,0.501,0,64.9,Moderate,20.1
1164,30.0,1200,0.97,0,Clear,0,0.652,0,66.2,Moderate,16.3
1496,16.5,1500,0.997,0,Clear,0,0.654,0,73.5,High,16.0
467,30.0,1500,0.311,1,Rain,1,0.172,0,53.5,Moderate,9.8
206,62.3,1500,0.137,1,Clear,0,0.07,0,26.2,Low,3.4
1130,45.8,1500,0.753,0,Clear,0,0.531,0,49.3,Moderate,9.5
917,45.5,850,1.079,0,Clear,0,0.744,0,64.1,Moderate,22.6
1150,35.5,1500,0.767,0,Rain,1,0.55,1,74.5,High,25.5
750,19.8,600,1.25,0,Clear,0,0.79,0,83.3,High,30.4
2440,10.4,2000,1.22,1,Fog,3,0.848,1,100.0,High,56.6
1269,5.0,850,1.493,0,Fog,3,0.935,0,100.0,High,54.7
532,87.2,1500,0.355,0,Clear,0,0.199,0,12.7,Low,1.3
1107,11.6,1500,0.738,1,Clear,0,0.398,0,76.0,High,13.4
1273,9.7,1000,1.273,0,Rain,1,0.801,1,100.0,High,45.0
995,33.3,2000,0.498,0,Rain,1,0.359,0,48.4,Moderate,8.7
348,58.4,600,0.58,0,Rain,1,0.354,0,40.8,Moderate,6.8
405,48.0,850,0.476,1,Clear,0,0.309,0,47.8,Moderate,7.3
2146,5.0,850,2.525,0,Clear,0,0.98,1,100.0,High,60.0
2041,5.0,600,3.402,0,Rain,1,0.98,0,100.0,High,60.0
868,5.0,850,1.021,1,Storm,2,0.682,0,100.0,High,27.7
2127,15.1,1200,1.772,0,Rain,1,0.98,1,100.0,High,60.0
1168,56.2,1500,0.779,0,Clear,0,0.492,0,45.7,Moderate,12.1
737,64.5,1200,0.614,0,Clear,0,0.381,0,34.6,Low,5.5
2240,5.0,1000,2.24,0,Clear,0,0.98,0,100.0,High,60.0
636,13.5,1200,0.53,1,Storm,2,0.298,1,90.8,High,29.8
1313,13.7,1000,1.313,1,Clear,0,0.883,0,100.0,High,37.8
2329,5.0,850,2.74,1,Clear,0,0.98,0,100.0,High,60.0
509,63.1,1000,0.509,0,Clear,0,0.34,0,30.5,Low,2.3
904,40.9,1500,0.603,0,Clear,0,0.45,1,59.7,Moderate,15.5
961,15.0,600,1.602,0,Clear,0,0.98,1,100.0,High,60.0
1006,5.0,600,1.677,0,Clear,0,0.98,0,100.0,High,58.6
1344,15.9,1200,1.12,1,Clear,0,0.842,0,91.3,High,27.6
1741,49.1,1500,1.161,0,Clear,0,0.837,0,66.2,Moderate,23.4
788,29.4,1200,0.657,1,Clear,0,0.414,0,64.3,Moderate,13.9
1498,32.9,1200,1.248,0,Clear,0,0.864,0,77.4,High,32.9
1301,56.5,2000,0.65,0,Clear,0,0.39,0,39.9,Moderate,7.1
918,38.5,1200,0.765,1,Clear,0,0.523,0,65.1,Moderate,13.8
427,33.7,1000,0.427,1,Rain,1,0.324,0,57.0,Moderate,9.2
585,65.6,2000,0.292,0,Clear,0,0.234,1,34.6,Low,14.3
2500,5.0,1200,2.083,0,Fog,3,0.98,0,100.0,High,60.0
1065,37.8,850,1.253,1,Clear,0,0.845,1,100.0,High,45.1
932,51.2,1200,0.777,0,Clear,0,0.51,0,47.9,Moderate,10.9
1897,32.6,1200,1.581,0,Clear,0,0.98,0,92.5,High,49.8
1349,5.0,600,2.248,1,Fog,3,0.98,1,100.0,High,60.0
2500,5.0,1000,2.5,0,Rain,1,0.98,1,100.0,High,60.0
2475,8.2,2000,1.238,0,Fog,3,0.914,1,100.0,High,49.6
613,66.9,1500,0.409,0,Clear,0,0.19,0,24.3,Low,3.6
1545,15.5,850,1.818,0,Clear,0,0.98,0,100.0,High,60.0
802,53.0,1000,0.802,0,Clear,0,0.466,0,48.2,Moderate,12.0
1181,5.0,1200,0.984,1,Storm,2,0.692,0,100.0,High,29.5
1156,52.3,2000,0.578,0,Clear,0,0.468,0,38.5,Moderate,5.7
1205,62.5,1500,0.803,0,Clear,0,0.527,0,44.0,Moderate,8.6
1237,13.2,850,1.455,0,Clear,0,0.895,0,95.5,High,40.2
226,54.5,1200,0.188,0,Clear,0,0.055,0,20.0,Low,1.2
1013,53.7,1000,1.013,0,Clear,0,0.726,1,72.4,High,28.7
1769,6.4,1000,1.769,0,Clear,0,0.98,0,100.0,High,60.0
1001,31.7,1000,1.001,0,Clear,0,0.617,0,66.8,Moderate,18.1
305,40.0,1000,0.305,1,Clear,0,0.207,0,43.7,Moderate,8.4
1048,41.7,1000,1.048,0,Clear,0,0.73,1,79.4,High,31.8
2500,5.0,1500,1.667,1,Clear,0,0.98,0,100.0,High,60.0
798,39.5,1200,0.665,0,Clear,0,0.434,0,48.2,Moderate,7.2
1601,5.0,600,2.668,1,Clear,0,0.98,0,100.0,High,60.0
1790,7.1,850,2.106,0,Clear,0,0.98,0,100.0,High,60.0
1039,8.9,850,1.222,0,Storm,2,0.768,1,100.0,High,47.9
1576,26.9,850,1.854,0,Clear,0,0.98,0,100.0,High,60.0
1369,26.7,850,1.611,0,Clear,0,0.98,0,96.4,High,50.4
1333,37.2,1000,1.333,0,Clear,0,0.899,0,79.2,High,32.3
1085,5.0,600,1.808,0,Rain,1,0.98,1,100.0,High,60.0
625,27.6,600,1.042,1,Clear,0,0.623,0,82.4,High,23.8
746,22.4,1200,0.622,0,Rain,1,0.368,1,73.9,High,23.4
1432,45.8,1200,1.193,0,Clear,0,0.812,0,69.1,Moderate,26.0
757,33.4,1500,0.505,0,Clear,0,0.354,0,43.7,Moderate,4.8
278,76.1,2000,0.139,0,Clear,0,0.056,0,8.0,Low,1.0
829,57.9,1200,0.691,0,Clear,0,0.44,0,41.0,Moderate,9.7
1611,5.0,1000,1.611,1,Storm,2,0.98,0,100.0,High,60.0
1136,9.9,1200,0.947,1,Rain,1,0.598,0,91.2,High,23.9
995,16.5,1000,0.995,1,Rain,1,0.672,0,90.3,High,28.7
669,36.1,2000,0.334,0,Rain,1,0.156,0,39.8,Moderate,6.3
1049,32.8,2000,0.524,1,Clear,0,0.373,1,71.8,High,21.0
809,34.6,1500,0.539,0,Rain,1,0.386,0,49.7,Moderate,11.1
499,24.2,1200,0.416,1,Rain,1,0.308,0,60.8,Moderate,13.5
1200,5.0,850,1.412,0,Storm,2,0.912,1,100.0,High,56.7
565,43.7,1200,0.471,0,Fog,3,0.406,1,67.5,Moderate,22.7
1959,36.8,1500,1.306,0,Clear,0,0.759,1,93.2,High,44.9
957,48.7,1200,0.798,0,Clear,0,0.486,0,50.0,Moderate,11.2
455,56.4,1000,0.455,0,Clear,0,0.354,0,31.1,Low,1.5
1199,38.6,1200,0.999,1,Clear,0,0.542,0,75.6,High,18.6
2496,5.0,1000,2.496,0,Clear,0,0.98,1,100.0,High,60.0
1751,8.8,850,2.06,0,Clear,0,0.98,0,100.0,High,60.0
970,16.5,1000,0.97,1,Clear,0,0.598,0,84.2,High,23.2
1538,6.3,1500,1.025,0,Storm,2,0.622,0,89.3,High,26.9
1773,5.0,1500,1.182,0,Storm,2,0.811,0,96.9,High,35.0
1266,5.0,850,1.489,1,Clear,0,0.974,1,100.0,High,58.4
1560,5.0,600,2.6,0,Clear,0,0.98,1,100.0,High,60.0
1235,5.0,600,2.058,0,Clear,0,0.98,0,100.0,High,60.0
1163,24.9,1000,1.163,0,Clear,0,0.718,1,92.1,High,37.1
2438,5.0,850,2.868,1,Clear,0,0.98,1,100.0,High,60.0
2237,5.0,1000,2.237,0,Clear,0,0.98,0,100.0,High,60.0
1242,9.7,1000,1.242,1,Fog,3,0.78,0,100.0,High,45.9
884,5.0,600,1.473,1,Rain,1,0.829,0,100.0,High,50.4
1206,5.0,1200,1.005,0,Fog,3,0.71,1,100.0,High,43.2
1893,5.0,850,2.227,0,Clear,0,0.98,1,100.0,High,60.0
1561,5.0,1000,1.561,1,Rain,1,0.98,0,100.0,High,56.2
2373,5.0,1500,1.582,0,Clear,0,0.98,0,100.0,High,49.3
1942,5.0,1500,1.295,1,Rain,1,0.85,1,100.0,High,52.5
812,50.0,1500,0.541,0,Clear,0,0.444,0,37.9,Moderate,5.7
874,47.1,1200,0.728,0,Rain,1,0.437,0,52.6,Moderate,14.6
1274,5.0,850,1.499,0,Clear,0,0.917,0,100.0,High,43.9
2409,5.0,1000,2.409,1,Clear,0,0.98,1,100.0,High,60.0
728,53.1,850,0.856,0,Clear,0,0.547,0,50.6,Moderate,12.9
1123,9.1,1000,1.123,1,Clear,0,0.744,0,94.5,High,29.0
354,36.5,600,0.59,1,Rain,1,0.408,0,63.1,Moderate,16.2
833,57.2,1000,0.833,0,Clear,0,0.63,0,47.7,Moderate,9.9
353,40.1,600,0.588,1,Clear,0,0.419,0,56.4,Moderate,12.0
736,33.2,850,0.866,0,Clear,0,0.553,0,60.0,Moderate,10.3
1474,36.6,1000,1.474,0,Clear,0,0.98,0,85.9,High,41.3
1100,13.5,600,1.833,0,Clear,0,0.98,0,100.0,High,60.0
1162,45.7,1200,0.968,0,Clear,0,0.662,0,59.0,Moderate,16.9
407,69.6,1200,0.339,0,Clear,0,0.23,0,19.9,Low,0.5
1167,33.9,2000,0.584,1,Clear,0,0.335,0,59.0,Moderate,8.5
1254,18.2,1000,1.254,1,Clear,0,0.936,0,96.2,High,33.3
1085,23.0,2000,0.542,1,Clear,0,0.335,0,62.0,Moderate,11.4
1664,48.1,2000,0.832,0,Clear,0,0.586,0,51.8,Moderate,12.0
1004,8.1,1000,1.004,0,Rain,1,0.676,1,97.6,High,35.2
1396,42.6,1000,1.396,0,Clear,0,0.849,0,79.6,High,37.4
1719,5.0,1000,1.719,0,Clear,0,0.98,0,100.0,High,59.9
1642,5.0,1000,1.642,0,Clear,0,0.98,0,100.0,High,52.2
217,39.2,850,0.255,1,Clear,0,0.212,0,41.9,Moderate,7.3
958,22.6,1500,0.639,1,Fog,3,0.334,0,81.6,High,24.4
768,25.2,600,1.28,0,Clear,0,0.807,1,97.3,High,42.5
1080,25.3,850,1.271,0,Clear,0,0.815,1,96.8,High,45.8
2500,5.0,1000,2.5,0,Rain,1,0.98,1,100.0,High,60.0
1082,39.7,850,1.273,0,Clear,0,0.871,1,90.4,High,42.1
1526,27.1,1500,1.017,1,Clear,0,0.738,1,96.6,High,36.1
1603,41.7,2000,0.802,0,Clear,0,0.572,0,53.3,Moderate,9.8
1312,5.0,850,1.544,0,Storm,2,0.98,1,100.0,High,60.0
864,24.5,2000,0.432,1,Clear,0,0.314,0,56.4,Moderate,8.4
1032,46.6,1200,0.86,0,Clear,0,0.524,0,53.7,Moderate,11.4
734,46.3,1000,0.734,1,Clear,0,0.524,0,60.2,Moderate,15.1
1120,28.9,1000,1.12,0,Clear,0,0.728,0,73.4,High,22.8
944,43.0,1000,0.944,0,Rain,1,0.638,0,64.1,Moderate,19.6
1324,47.0,1000,1.324,0,Clear,0,0.821,0,74.4,High,34.5
1138,23.5,1000,1.138,1,Clear,0,0.791,0,88.7,High,28.3
1632,5.0,1200,1.36,0,Fog,3,0.94,1,100.0,High,60.0
1264,42.8,1200,1.053,0,Clear,0,0.632,0,64.1,Moderate,20.3
2500,5.0,600,4.167,0,Clear,0,0.98,0,100.0,High,60.0
2500,5.0,850,2.941,0,Clear,0,0.98,0,100.0,High,60.0
2371,5.0,600,3.952,0,Clear,0,0.98,0,100.0,High,60.0
381,45.6,1000,0.381,1,Clear,0,0.213,0,44.6,Moderate,7.5
863,31.8,1000,0.863,1,Clear,0,0.57,1,87.5,High,27.0
1727,9.4,1000,1.727,1,Clear,0,0.98,0,100.0,High,60.0
1411,16.6,850,1.66,0,Clear,0,0.98,0,100.0,High,55.9
2500,5.0,1000,2.5,0,Clear,0,0.98,0,100.0,High,60.0
2213,21.5,1200,1.844,0,Clear,0,0.98,0,100.0,High,60.0
1998,5.0,850,2.351,0,Clear,0,0.98,0,100.0,High,60.0
1044,5.0,1000,1.044,1,Rain,1,0.703,0,97.7,High,27.7
939,33.1,1200,0.782,0,Clear,0,0.479,0,56.3,Moderate,8.7
1270,5.0,850,1.494,0,Fog,3,0.943,0,100.0,High,54.0
454,56.6,2000,0.227,0,Rain,1,0.143,0,25.8,Low,6.1
936,28.8,850,1.101,0,Clear,0,0.675,0,72.6,High,24.4
1170,18.9,850,1.376,1,Clear,0,0.885,0,100.0,High,39.5
1801,20.8,850,2.119,0,Clear,0,0.98,0,100.0,High,60.0
1383,5.0,1200,1.152,0,Fog,3,0.823,1,100.0,High,48.8
1540,5.0,600,2.567,1,Rain,1,0.98,0,100.0,High,60.0
1140,10.7,1000,1.14,1,Rain,1,0.789,0,99.5,High,35.7
1439,50.4,1500,0.959,0,Clear,0,0.681,0,56.5,Moderate,18.8
2500,5.0,1000,2.5,1,Clear,0,0.98,0,100.0,High,60.0
1036,42.2,1000,1.036,0,Clear,0,0.658,0,63.6,Moderate,18.9
685,34.1,1000,0.685,1,Clear,0,0.468,0,63.5,Moderate,13.5
1568,5.0,600,2.613,0,Clear,0,0.98,0,100.0,High,60.0
1444,5.0,1000,1.444,1,Clear,0,0.93,0,100.0,High,47.8
1312,41.9,2000,0.656,0,Clear,0,0.409,0,46.7,Moderate,7.1
1030,42.4,1500,0.687,1,Clear,0,0.456,0,59.8,Moderate,10.5
1113,5.0,600,1.855,1,Fog,3,0.98,0,100.0,High,60.0
1123,25.7,1000,1.123,0,Rain,1,0.623,0,80.0,High,28.4
1392,5.0,600,2.32,0,Clear,0,0.98,0,100.0,High,60.0
1441,19.1,1000,1.441,0,Rain,1,0.978,0,97.3,High,44.0
1593,11.2,1000,1.593,0,Rain,1,0.943,0,100.0,High,51.9
1873,5.2,1200,1.561,0,Clear,0,0.98,0,100.0,High,46.6
930,38.1,1000,0.93,1,Clear,0,0.65,0,72.7,High,19.5
1002,5.0,1000,1.002,1,Fog,3,0.651,0,100.0,High,35.0
1593,6.7,1000,1.593,1,Clear,0,0.98,1,100.0,High,60.0
1263,5.0,600,2.105,0,Rain,1,0.98,0,100.0,High,60.0
1505,15.9,1200,1.254,0,Clear,0,0.8,0,85.3,High,32.0
1431,24.3,850,1.684,0,Clear,0,0.98,0,100.0,High,55.8
1978,21.6,1500,1.319,0,Clear,0,0.859,0,85.6,High,37.2
904,36.0,1000,0.904,0,Fog,3,0.556,0,75.5,High,27.1
488,53.2,1200,0.407,0,Clear,0,0.24,0,30.4,Low,4.8
851,57.1,2000,0.426,0,Clear,0,0.291,0,29.4,Low,1.0
924,58.3,1000,0.924,0,Clear,0,0.555,0,51.3,Moderate,16.5
173,27.8,1200,0.144,1,Fog,3,0.035,0,57.0,Moderate,15.7
1187,34.0,1200,0.989,0,Clear,0,0.653,0,65.2,Moderate,17.4
622,34.8,600,1.037,0,Clear,0,0.667,0,67.0,Moderate,19.2
788,20.4,1000,0.788,1,Clear,0,0.501,0,74.3,High,15.4
1319,18.6,1000,1.319,0,Clear,0,0.822,0,87.0,High,32.4
1217,5.0,1000,1.217,1,Clear,0,0.833,0,100.0,High,29.9
689,34.3,1000,0.689,0,Clear,0,0.421,1,66.6,Moderate,19.5
1487,7.4,1000,1.487,0,Clear,0,0.98,0,99.6,High,42.6
909,22.5,2000,0.454,1,Rain,1,0.281,0,63.3,Moderate,11.1
396,55.8,600,0.66,0,Clear,0,0.388,0,40.6,Moderate,8.8
1024,5.0,850,1.205,1,Rain,1,0.835,1,100.0,High,49.7
1942,22.8,1500,1.295,0,Clear,0,0.851,0,84.0,High,29.6
395,40.7,600,0.658,1,Clear,0,0.461,0,59.3,Moderate,11.6
1268,5.0,1000,1.268,1,Clear,0,0.799,1,100.0,High,45.5
836,27.6,850,0.984,1,Clear,0,0.678,0,79.8,High,22.0
476,25.8,850,0.56,1,Clear,0,0.364,0,61.6,Moderate,8.9
1364,5.0,850,1.605,1,Rain,1,0.98,1,100.0,High,60.0
1296,11.3,1000,1.296,0,Clear,0,0.825,0,89.2,High,33.5
1219,33.2,2000,0.61,0,Clear,0,0.433,0,48.5,Moderate,8.0
1581,5.0,1000,1.581,0,Storm,2,0.98,0,100.0,High,55.2
2500,5.0,1000,2.5,1,Clear,0,0.98,0,100.0,High,60.0
1196,35.3,1000,1.196,0,Clear,0,0.78,0,74.0,High,26.7
959,31.0,2000,0.48,1,Clear,0,0.32,0,55.6,Moderate,5.7
1734,5.0,850,2.04,1,Clear,0,0.98,0,100.0,High,60.0
1032,43.6,1000,1.032,0,Clear,0,0.652,0,62.8,Moderate,18.9
890,24.2,600,1.483,0,Clear,0,0.911,1,100.0,High,56.9
1069,31.0,1000,1.069,0,Clear,0,0.671,0,70.2,High,19.8
1131,25.5,850,1.331,0,Clear,0,0.956,0,84.4,High,34.1
2500,5.0,850,2.941,0,Rain,1,0.98,1,100.0,High,60.0
2160,5.0,850,2.541,0,Clear,0,0.98,0,100.0,High,60.0
1633,5.0,1000,1.633,0,Fog,3,0.98,1,100.0,High,60.0
880,15.9,850,1.035,0,Clear,0,0.792,0,75.4,High,18.9
759,5.0,600,1.265,0,Fog,3,0.761,0,100.0,High,39.8
829,11.4,850,0.975,0,Rain,1,0.597,0,79.8,High,19.9
1305,50.6,2000,0.652,0,Clear,0,0.404,0,42.6,Moderate,8.8
1290,32.6,2000,0.645,0,Clear,0,0.415,0,50.4,Moderate,9.4
1411,25.5,1200,1.176,0,Rain,1,0.818,0,82.4,High,25.5
883,30.5,850,1.039,0,Clear,0,0.696,0,69.0,Moderate,19.8
1030,5.0,1000,1.03,1,Clear,0,0.628,0,92.1,High,26.0
2500,8.9,1500,1.667,0,Clear,0,0.98,1,100.0,High,60.0
1937,5.0,850,2.279,0,Fog,3,0.98,0,100.0,High,60.0
961,25.8,1000,0.961,0,Rain,1,0.6,0,72.6,High,17.6
1542,10.3,1000,1.542,1,Rain,1,0.98,1,100.0,High,60.0
737,33.7,1000,0.737,0,Storm,2,0.501,0,64.0,Moderate,15.1
459,59.7,1000,0.459,1,Clear,0,0.342,0,41.8,Moderate,8.8
377,45.5,1000,0.377,1,Rain,1,0.324,0,49.5,Moderate,10.0
1935,15.3,2000,0.968,0,Clear,0,0.656,0,72.6,High,17.2
597,53.4,1000,0.597,0,Clear,0,0.462,0,38.9,Moderate,6.5
483,48.3,1200,0.402,1,Clear,0,0.271,0,44.4,Moderate,9.0
571,33.0,1000,0.571,1,Clear,0,0.336,0,58.9,Moderate,11.4
907,27.4,1000,0.907,0,Clear,0,0.502,0,64.5,Moderate,14.6
1693,5.0,850,1.992,1,Rain,1,0.98,1,100.0,High,60.0
1078,12.2,600,1.797,0,Clear,0,0.98,1,100.0,High,60.0
582,50.2,1200,0.485,0,Clear,0,0.361,0,35.3,Moderate,3.5
845,39.3,850,0.994,0,Clear,0,0.644,0,63.0,Moderate,19.6
1575,5.0,600,2.625,0,Fog,3,0.98,1,100.0,High,60.0
1183,59.0,2000,0.592,0,Clear,0,0.307,0,36.1,Moderate,6.3
1255,24.6,2000,0.628,1,Rain,1,0.346,0,70.2,High,16.1
1407,45.9,1200,1.172,0,Clear,0,0.765,0,68.1,Moderate,22.7
576,15.4,600,0.96,1,Clear,0,0.546,0,84.3,High,21.8
1640,34.1,1200,1.367,0,Clear,0,0.845,0,82.1,High,36.3
706,25.5,1000,0.706,1,Clear,0,0.458,1,83.3,High,27.1
688,35.4,1200,0.573,0,Storm,2,0.389,0,55.9,Moderate,13.2
956,52.7,1000,0.956,0,Clear,0,0.687,0,55.3,Moderate,15.9
1489,20.2,1200,1.241,0,Rain,1,0.797,0,87.8,High,31.0
1351,18.8,1200,1.126,0,Rain,1,0.679,0,83.2,High,25.2
1519,9.4,1000,1.519,0,Clear,0,0.98,0,100.0,High,39.6
1715,8.5,2000,0.858,1,Rain,1,0.548,0,87.8,High,21.6
403,47.4,1000,0.403,1,Clear,0,0.264,0,44.8,Moderate,5.7
1201,46.0,2000,0.6,1,Clear,0,0.463,0,54.3,Moderate,11.9
1800,5.0,600,3.0,0,Clear,0,0.98,1,100.0,High,60.0
882,28.6,1500,0.588,1,Rain,1,0.377,0,66.6,Moderate,12.2
1342,33.0,1000,1.342,1,Clear,0,0.861,0,93.5,High,40.2
2500,5.0,1000,2.5,0,Clear,0,0.98,1,100.0,High,60.0
880,19.1,600,1.467,0,Clear,0,0.966,0,93.4,High,43.2
1101,30.8,1200,0.918,0,Rain,1,0.626,0,68.4,Moderate,19.1
